order_id,customer_id,order_date,total_amount,status
128,545,2023-05-24,29.99,Delivered
129,145,2022-10-13,59.97,Delivered
130,481,2020-09-15,209.96,Confirmed
131,888,2024-04-06,94.97,Delivered
132,699,2022-01-02,132.96,Shipped
133,144,2023-06-03,164.97,Delivered
134,348,2022-01-05,199.98,Processed
135,158,2023-08-07,49.99,Shipped
136,293,2020-12-20,19.99,Processed
137,755,2024-05-16,89.97,Shipped
138,629,2021-05-09,29.99,Shipped
139,589,2021-03-05,126.96,Shipped
140,993,2022-05-05,29.99,Processed
141,235,2024-02-29,12.99,Processed
142,945,2023-02-03,49.98,Delivered
143,453,2019-01-08,79.98,Processed
144,167,2021-05-14,12.99,Shipped
145,897,2023-07-30,199.98,Confirmed
146,813,2024-04-11,99.98,Processed
147,574,2022-03-25,39.98,Delivered
148,434,2022-03-22,59.99,Processed
149,386,2023-02-18,87.97,Processed
150,578,2024-02-06,64.99,Shipped
151,75,2023-11-20,31.98,Confirmed
152,14,2022-05-13,89.98,Confirmed
153,320,2024-01-23,92.97,Shipped
154,513,2023-01-01,235.93,Processed
155,974,2022-06-16,185.97,Processed
156,490,2024-05-31,69.99,Processed
157,451,2022-03-21,69.99,Confirmed
158,767,2023-08-31,29.99,Confirmed
159,310,2023-04-09,29.99,Processed
160,616,2021-10-24,29.99,Processed
161,16,2021-06-09,37.98,Delivered
162,362,2024-04-01,408.92,Shipped
163,846,2024-05-24,49.98,Delivered
164,537,2021-10-02,49.99,Confirmed
165,222,2022-05-10,109.96,Confirmed
166,456,2024-02-08,179.97,Confirmed
167,945,2023-03-31,69.99,Shipped
168,74,2021-06-17,29.99,Processed
169,968,2023-07-04,114.98,Shipped
170,415,2021-02-05,109.98,Delivered
171,665,2020-08-20,18.99,Shipped
172,459,2018-06-16,159.97,Confirmed
173,298,2022-05-18,119.98,Delivered
174,109,2024-05-18,379.94,Confirmed
175,25,2022-12-12,29.99,Confirmed
176,78,2023-07-29,199.98,Confirmed
177,811,2021-10-28,90.96,Delivered
178,38,2023-03-14,69.99,Processed
179,960,2022-11-10,24.99,Confirmed
180,124,2024-05-02,99.99,Delivered
181,595,2023-12-16,49.98,Delivered
182,64,2024-03-22,28.98,Delivered
183,286,2021-05-21,324.93,Delivered
184,824,2023-09-23,99.98,Processed
185,659,2022-11-17,234.93,Shipped
186,183,2023-04-01,49.98,Confirmed
187,452,2023-03-20,169.95,Processed
188,481,2020-12-28,119.99,Shipped
189,908,2022-10-30,59.99,Processed
190,867,2024-02-12,289.93,Shipped
191,44,2022-09-19,69.99,Shipped
192,144,2023-02-14,39.99,Processed
193,717,2022-10-11,24.99,Processed
194,148,2023-12-10,49.99,Shipped
195,348,2022-07-07,59.98,Shipped
196,636,2023-12-19,49.99,Shipped
197,31,2023-09-09,49.98,Processed
198,538,2021-12-06,69.99,Delivered
199,454,2024-01-24,49.98,Confirmed
200,97,2021-12-12,487.87,Processed
201,517,2024-04-22,69.99,Shipped
202,355,2023-03-19,69.99,Delivered
203,811,2023-01-20,158.96,Processed
204,947,2023-08-06,119.98,Confirmed
205,441,2023-08-05,29.99,Confirmed
206,159,2024-05-18,124.97,Shipped
207,127,2023-01-21,119.99,Processed
208,494,2024-04-25,59.98,Confirmed
209,124,2024-02-08,49.99,Delivered
210,229,2021-11-12,119.99,Delivered
211,76,2018-09-20,19.99,Processed
212,527,2021-12-31,49.99,Confirmed
213,791,2021-03-17,114.98,Processed
214,5,2021-02-09,164.98,Delivered
215,561,2023-05-01,29.99,Delivered
216,719,2024-05-08,59.99,Processed
217,253,2023-06-14,269.96,Delivered
218,705,2022-09-10,229.96,Processed
219,325,2024-01-16,29.99,Processed
220,795,2024-05-20,234.94,Shipped
221,969,2021-08-05,39.98,Shipped
222,75,2024-04-16,64.97,Shipped
223,330,2024-05-21,139.98,Processed
224,94,2023-01-13,349.96,Shipped
225,90,2019-01-14,184.97,Delivered
226,718,2023-12-22,69.99,Confirmed
227,311,2024-05-30,85.97,Confirmed
228,811,2022-06-05,69.99,Processed
229,448,2021-09-13,79.97,Shipped
230,936,2023-06-12,119.98,Shipped
231,912,2018-11-05,69.99,Delivered
232,765,2024-01-03,129.99,Delivered
233,797,2024-04-12,59.98,Shipped
234,915,2021-11-29,99.99,Processed
235,675,2022-11-02,49.99,Confirmed
236,983,2021-07-13,64.97,Confirmed
237,542,2023-07-28,199.98,Delivered
238,507,2024-04-29,49.98,Delivered
239,738,2024-01-31,119.98,Delivered
240,64,2024-04-12,43.98,Confirmed
241,356,2024-05-30,24.99,Processed
242,631,2022-01-12,19.99,Shipped
243,711,2021-12-29,31.98,Confirmed
244,284,2018-11-20,489.91,Confirmed
245,918,2023-06-20,29.99,Delivered
246,835,2024-04-29,299.98,Shipped
247,533,2021-02-06,99.98,Shipped
248,177,2022-07-20,32.98,Shipped
249,201,2023-02-25,49.99,Shipped
250,302,2020-08-30,165.96,Shipped
251,18,2023-02-20,449.94,Processed
252,145,2021-12-10,219.96,Shipped
253,484,2021-01-01,229.98,Confirmed
254,912,2021-10-12,64.99,Shipped
255,178,2023-01-21,159.97,Delivered
256,170,2022-12-13,99.97,Shipped
257,767,2023-08-15,19.99,Confirmed
258,89,2023-01-04,59.99,Shipped
259,788,2023-03-25,18.99,Delivered
260,726,2020-01-06,149.96,Shipped
261,286,2021-07-04,129.97,Confirmed
262,309,2021-04-11,159.96,Confirmed
263,405,2024-01-29,39.98,Confirmed
264,526,2023-08-11,49.99,Processed
265,186,2023-12-15,59.97,Confirmed
266,321,2022-02-19,59.99,Delivered
267,924,2023-01-07,399.94,Delivered
268,424,2023-05-03,169.98,Processed
269,816,2023-07-11,29.99,Confirmed
270,174,2024-02-27,49.98,Shipped
271,934,2020-03-18,59.99,Confirmed
272,999,2023-11-29,24.99,Shipped
273,281,2022-04-09,29.99,Confirmed
274,91,2021-06-22,259.95,Confirmed
275,114,2021-10-23,39.98,Processed
276,729,2024-01-17,194.96,Confirmed
277,924,2023-08-19,69.99,Processed
278,91,2024-04-02,279.93,Processed
279,778,2021-09-08,139.98,Shipped
280,445,2022-08-29,99.99,Processed
281,575,2022-01-03,99.99,Delivered
282,824,2024-05-20,24.99,Processed
283,398,2023-07-05,29.99,Processed
284,833,2022-03-12,114.98,Confirmed
285,268,2023-12-29,194.98,Delivered
286,890,2022-04-24,24.99,Processed
287,974,2023-07-17,49.99,Processed
288,849,2024-01-17,97.96,Confirmed
289,116,2024-04-24,88.98,Shipped
290,873,2021-05-01,69.99,Shipped
291,825,2023-09-26,114.97,Processed
292,868,2024-04-22,119.96,Confirmed
293,974,2022-04-02,49.99,Shipped
294,116,2024-03-25,389.9,Processed
295,288,2019-04-23,19.99,Shipped
296,716,2023-06-13,149.98,Shipped
297,544,2023-10-31,69.99,Confirmed
298,911,2022-06-30,329.95,Processed
299,309,2022-08-13,109.98,Processed
300,67,2024-04-07,49.98,Processed
301,665,2019-11-28,89.97,Delivered
302,886,2022-01-03,104.97,Confirmed
303,843,2023-09-30,99.99,Processed
304,280,2024-01-20,49.98,Processed
305,101,2023-02-09,139.98,Shipped
306,32,2023-11-02,29.99,Shipped
307,99,2021-11-12,99.99,Confirmed
308,996,2021-11-07,69.98,Delivered
309,359,2022-09-29,18.99,Shipped
310,234,2021-07-28,329.94,Shipped
311,348,2024-01-04,37.98,Shipped
312,69,2022-11-20,532.9,Delivered
313,343,2023-04-12,139.96,Delivered
314,555,2022-03-15,19.99,Delivered
315,675,2024-02-12,49.99,Processed
316,145,2023-06-11,99.98,Delivered
317,655,2022-01-30,84.98,Delivered
318,919,2024-03-07,39.98,Shipped
319,81,2023-08-14,29.99,Shipped
320,155,2023-09-30,176.94,Confirmed
321,678,2024-02-05,268.97,Delivered
322,836,2022-12-28,49.99,Shipped
323,955,2023-05-13,99.99,Delivered
324,112,2021-12-24,139.96,Delivered
325,555,2024-04-16,59.99,Processed
326,398,2023-09-29,449.95,Delivered
327,751,2023-07-27,164.95,Processed
328,368,2022-08-07,99.99,Processed
329,508,2022-04-23,109.97,Shipped
330,61,2019-12-07,31.98,Confirmed
331,696,2023-11-30,29.99,Shipped
332,804,2019-07-29,149.98,Shipped
333,350,2023-01-04,284.89,Shipped
334,193,2023-08-31,78.98,Shipped
335,498,2022-08-18,49.99,Shipped
336,80,2023-07-01,179.98,Confirmed
337,438,2020-10-17,45.97,Processed
338,418,2022-09-20,49.99,Confirmed
339,898,2022-09-17,319.95,Confirmed
340,567,2021-07-27,39.98,Confirmed
341,664,2021-06-10,69.99,Processed
342,9,2021-02-16,39.98,Delivered
343,584,2023-02-15,99.98,Confirmed
344,661,2022-04-20,29.99,Processed
345,29,2023-04-15,178.96,Processed
346,671,2022-12-10,49.99,Confirmed
347,568,2023-02-08,64.99,Confirmed
348,965,2024-03-07,199.98,Confirmed
349,701,2024-05-11,29.99,Delivered
350,880,2022-03-27,29.99,Shipped
351,51,2024-03-07,59.98,Processed
352,528,2023-04-24,49.99,Shipped
353,81,2023-04-25,59.98,Processed
354,588,2022-06-13,209.95,Shipped
355,169,2023-10-28,29.99,Processed
356,277,2024-05-09,123.95,Processed
357,159,2023-11-21,49.99,Delivered
358,128,2023-08-27,99.99,Delivered
359,273,2018-11-02,224.96,Shipped
360,897,2023-12-24,149.95,Processed
361,704,2023-05-27,59.99,Delivered
362,323,2021-01-10,49.99,Shipped
363,623,2021-09-04,49.99,Shipped
364,301,2020-07-15,59.98,Processed
365,977,2023-08-06,49.99,Processed
366,968,2023-07-22,239.98,Delivered
367,947,2021-08-14,307.95,Shipped
368,724,2023-07-06,59.98,Processed
369,215,2023-11-14,137.96,Shipped
370,813,2023-04-28,279.97,Confirmed
371,600,2022-10-29,49.99,Shipped
372,117,2022-12-15,65.98,Delivered
373,494,2023-08-29,169.97,Processed
374,467,2022-09-06,69.99,Processed
375,86,2021-10-06,287.94,Delivered
376,159,2023-08-28,199.97,Confirmed
377,9,2021-02-21,92.97,Delivered
378,500,2023-01-03,149.99,Delivered
379,255,2022-09-29,69.99,Processed
380,250,2020-10-24,19.99,Shipped
381,503,2024-04-22,19.99,Processed
382,703,2024-05-25,299.98,Processed
383,104,2019-08-10,319.95,Delivered
384,326,2023-06-13,85.96,Processed
385,442,2024-05-19,89.96,Confirmed
386,344,2024-04-23,69.99,Delivered
387,479,2023-10-13,179.96,Shipped
388,751,2023-05-13,227.96,Confirmed
389,803,2019-12-11,24.99,Processed
390,317,2023-02-08,269.96,Delivered
391,22,2023-11-15,39.98,Processed
392,756,2023-06-03,69.99,Shipped
393,722,2021-10-20,215.94,Processed
394,670,2022-03-30,69.99,Confirmed
395,631,2024-02-21,49.99,Shipped
396,472,2022-09-04,99.99,Processed
397,592,2024-03-03,119.98,Confirmed
398,608,2022-07-10,18.99,Delivered
399,996,2023-01-26,29.99,Shipped
400,373,2019-03-31,79.98,Shipped
401,238,2020-12-03,104.97,Processed
402,258,2023-08-20,129.97,Processed
403,365,2024-04-30,49.98,Shipped
404,398,2024-04-13,29.99,Confirmed
405,352,2020-11-02,19.99,Shipped
406,688,2020-02-10,109.97,Shipped
407,342,2023-07-30,149.99,Delivered
408,858,2020-06-16,99.99,Processed
409,215,2024-03-16,31.98,Processed
410,416,2024-05-27,439.95,Shipped
411,696,2022-04-02,99.99,Processed
412,996,2021-10-23,219.96,Processed
413,193,2022-08-16,119.97,Delivered
414,193,2023-10-21,129.99,Shipped
415,725,2022-06-29,129.97,Delivered
416,446,2022-08-18,99.99,Delivered
417,705,2020-07-06,109.97,Processed
418,693,2023-05-11,252.93,Confirmed
419,624,2024-04-20,35.98,Confirmed
420,566,2023-07-30,49.98,Processed
421,450,2021-12-26,19.99,Delivered
422,980,2024-01-03,299.97,Shipped
423,762,2022-10-28,374.94,Shipped
424,820,2023-11-12,69.99,Delivered
425,257,2023-07-25,119.98,Confirmed
426,475,2019-02-26,109.97,Processed
427,861,2023-10-29,365.91,Confirmed
428,858,2019-10-26,64.99,Delivered
429,743,2020-05-17,79.97,Processed
430,914,2023-01-01,49.99,Processed
431,392,2020-11-11,49.98,Delivered
432,933,2023-01-16,59.99,Processed
433,29,2022-05-24,99.99,Processed
434,504,2020-10-10,62.98,Processed
435,893,2024-03-24,89.96,Processed
436,108,2020-05-18,57.97,Processed
437,182,2020-07-02,489.94,Delivered
438,309,2020-09-19,91.96,Confirmed
439,383,2021-03-15,114.98,Processed
440,923,2022-10-12,49.98,Shipped
441,74,2021-12-02,29.99,Shipped
442,794,2022-07-21,329.96,Shipped
443,716,2023-08-29,89.98,Shipped
444,417,2021-12-16,242.96,Confirmed
445,410,2024-03-14,102.96,Confirmed
446,421,2024-05-18,39.99,Processed
447,185,2018-04-25,19.99,Delivered
448,747,2024-01-23,69.98,Processed
449,372,2022-06-19,64.99,Delivered
450,701,2023-08-30,59.98,Shipped
451,570,2022-10-08,49.98,Shipped
452,381,2023-12-05,119.98,Processed
453,370,2023-11-10,19.99,Confirmed
454,193,2023-01-19,59.98,Delivered
455,255,2023-04-12,49.99,Delivered
456,912,2019-10-09,159.96,Delivered
457,962,2021-02-17,122.96,Delivered
458,899,2024-05-16,19.99,Confirmed
459,174,2024-05-03,169.97,Processed
460,267,2024-05-30,159.96,Shipped
461,543,2022-05-19,29.99,Delivered
462,36,2024-02-23,199.98,Shipped
463,274,2023-12-31,149.96,Shipped
464,462,2023-03-16,49.98,Processed
465,413,2021-03-03,129.99,Processed
466,628,2020-03-13,31.98,Shipped
467,768,2022-06-19,179.98,Shipped
468,358,2024-03-21,114.97,Shipped
469,233,2019-03-16,214.96,Processed
470,321,2019-12-24,49.99,Delivered
471,519,2021-03-18,139.97,Processed
472,674,2024-02-27,119.98,Delivered
473,595,2022-08-18,49.99,Delivered
474,888,2024-03-16,179.96,Shipped
475,908,2021-12-14,49.99,Processed
476,724,2021-08-09,149.97,Shipped
477,334,2020-04-13,59.98,Delivered
478,72,2022-05-17,119.95,Processed
479,944,2019-12-15,39.98,Confirmed
480,89,2022-01-18,149.98,Shipped
481,34,2023-01-01,29.99,Shipped
482,712,2019-06-09,159.98,Shipped
483,367,2023-03-15,29.99,Confirmed
484,809,2023-05-13,169.95,Delivered
485,72,2022-12-13,364.9,Confirmed
486,305,2024-05-26,139.97,Shipped
487,824,2023-12-11,189.97,Confirmed
488,479,2024-03-21,219.97,Processed
489,919,2024-04-06,69.99,Delivered
490,911,2023-08-29,209.94,Delivered
491,220,2019-12-29,89.98,Delivered
492,270,2023-04-06,39.98,Processed
493,708,2024-02-04,19.99,Processed
494,610,2023-11-17,64.97,Shipped
495,887,2023-07-08,109.96,Shipped
496,93,2023-08-25,49.99,Shipped
497,434,2022-08-06,229.97,Confirmed
498,609,2020-10-21,31.98,Shipped
499,826,2024-04-17,99.98,Delivered
500,174,2023-12-12,19.99,Delivered
501,873,2021-05-24,29.99,Confirmed
502,957,2023-08-12,99.99,Shipped
503,149,2021-10-13,59.98,Confirmed
504,923,2020-11-08,29.99,Shipped
505,562,2023-11-23,59.98,Processed
506,693,2023-03-28,89.96,Delivered
507,715,2023-11-27,74.96,Processed
508,186,2023-09-24,29.99,Shipped
509,719,2023-10-13,49.98,Delivered
510,538,2021-06-18,179.97,Shipped
511,322,2022-04-05,99.99,Delivered
512,255,2023-08-23,19.99,Delivered
513,12,2019-06-27,15.99,Shipped
514,340,2022-03-14,49.99,Confirmed
515,177,2023-05-11,35.98,Confirmed
516,341,2022-10-13,374.95,Processed
517,297,2024-03-30,239.93,Processed
518,442,2023-08-16,29.99,Delivered
519,875,2023-12-16,155.95,Delivered
520,257,2022-11-22,49.99,Confirmed
521,598,2022-09-05,39.98,Confirmed
522,755,2024-05-04,129.99,Processed
523,438,2021-06-29,104.97,Delivered
524,723,2024-04-28,162.98,Confirmed
525,990,2024-05-03,119.98,Confirmed
526,990,2024-05-04,129.99,Delivered
527,272,2021-06-21,167.94,Processed
528,190,2024-04-20,49.99,Processed
529,418,2021-06-19,79.98,Processed
530,380,2024-02-26,234.94,Shipped
531,804,2021-01-10,37.98,Processed
532,926,2024-04-02,219.97,Delivered
533,139,2021-11-25,219.94,Shipped
534,504,2022-10-14,145.96,Shipped
535,64,2024-04-21,405.94,Processed
536,770,2023-04-28,129.99,Shipped
537,300,2022-11-13,211.95,Shipped
538,544,2024-03-09,109.98,Processed
539,728,2018-03-13,29.99,Processed
540,936,2024-02-04,29.99,Shipped
541,193,2023-09-02,140.96,Delivered
542,48,2024-05-25,99.99,Delivered
543,189,2024-02-18,59.98,Processed
544,219,2023-12-24,101.97,Shipped
545,335,2023-09-26,89.98,Confirmed
546,800,2023-08-26,19.99,Shipped
547,256,2023-10-07,99.99,Confirmed
548,284,2021-12-07,279.96,Confirmed
549,439,2024-05-23,119.98,Processed
550,805,2023-02-10,224.97,Delivered
551,245,2024-05-09,99.99,Shipped
552,212,2023-05-26,49.99,Delivered
553,805,2022-06-24,199.94,Delivered
554,718,2024-04-05,55.98,Shipped
555,11,2024-02-19,69.99,Delivered
556,416,2022-04-09,49.98,Confirmed
557,501,2022-12-30,49.99,Confirmed
558,993,2024-03-18,59.98,Confirmed
559,405,2024-03-13,59.98,Processed
560,199,2023-08-04,29.99,Delivered
561,279,2020-01-18,49.99,Processed
562,351,2022-12-13,39.98,Processed
563,789,2023-02-08,159.96,Confirmed
564,363,2024-04-20,49.99,Processed
565,750,2024-04-18,29.99,Processed
566,332,2021-11-18,349.96,Delivered
567,322,2020-01-17,24.99,Delivered
568,721,2020-09-28,109.97,Shipped
569,129,2021-11-10,49.99,Confirmed
570,305,2024-04-28,69.99,Shipped
571,758,2022-10-17,109.97,Confirmed
572,370,2022-12-17,149.96,Confirmed
573,927,2022-08-03,149.97,Shipped
574,642,2023-07-03,99.99,Confirmed
575,869,2024-02-28,29.99,Confirmed
576,898,2022-09-03,69.97,Confirmed
577,618,2023-04-10,74.98,Processed
578,655,2019-09-03,199.98,Confirmed
579,282,2020-04-02,144.97,Delivered
580,287,2024-04-07,89.96,Shipped
581,407,2023-03-14,109.97,Delivered
582,943,2022-10-17,112.98,Confirmed
583,43,2020-12-01,160.95,Processed
584,698,2024-05-06,24.99,Shipped
585,642,2023-01-06,159.97,Shipped
586,138,2023-06-13,119.98,Shipped
587,522,2022-05-27,139.96,Processed
588,62,2024-01-17,119.99,Shipped
589,302,2022-01-05,154.97,Delivered
590,946,2024-02-06,94.95,Processed
591,758,2023-09-29,399.96,Shipped
592,938,2020-05-01,57.97,Confirmed
593,392,2024-01-21,104.97,Confirmed
594,526,2022-01-08,269.97,Shipped
595,182,2019-11-14,225.92,Delivered
596,469,2020-01-11,299.96,Processed
597,210,2023-07-14,79.97,Shipped
598,541,2022-05-04,84.97,Shipped
599,281,2023-07-04,149.98,Shipped
600,806,2023-11-12,49.99,Delivered
601,964,2022-08-11,37.98,Confirmed
602,833,2022-10-10,129.97,Shipped
603,386,2022-12-19,39.98,Delivered
604,72,2022-04-23,149.97,Shipped
605,403,2023-06-14,69.99,Processed
606,719,2024-03-05,79.98,Processed
607,821,2022-09-27,29.99,Processed
608,295,2024-04-04,59.99,Delivered
609,559,2024-03-17,257.94,Delivered
610,283,2022-06-15,311.93,Delivered
611,771,2020-05-02,139.98,Confirmed
612,174,2024-04-21,29.99,Shipped
613,946,2023-12-28,45.97,Shipped
614,904,2022-10-09,99.99,Delivered
615,140,2019-04-14,79.98,Confirmed
616,618,2020-03-29,149.98,Shipped
617,204,2023-01-23,15.99,Processed
618,346,2021-09-10,19.99,Shipped
619,439,2023-10-05,115.98,Processed
620,799,2023-03-06,288.95,Shipped
621,74,2021-04-08,59.98,Shipped
622,416,2023-10-27,139.98,Delivered
623,283,2022-03-20,49.99,Shipped
624,112,2021-12-09,49.98,Shipped
625,879,2024-04-18,24.99,Confirmed
626,376,2022-08-06,59.98,Shipped
627,151,2022-11-17,69.98,Processed
628,751,2023-12-17,145.98,Delivered
629,966,2021-07-26,19.99,Processed
630,810,2022-07-31,99.99,Processed
631,613,2023-04-19,179.96,Confirmed
632,859,2022-08-13,109.97,Processed
633,961,2022-08-29,29.99,Delivered
634,898,2023-12-13,247.95,Delivered
635,792,2022-08-27,59.98,Processed
636,871,2021-10-11,29.99,Processed
637,394,2024-03-21,99.98,Processed
638,132,2020-05-20,49.99,Processed
639,122,2021-10-25,125.96,Processed
640,490,2024-05-30,49.99,Confirmed
641,728,2022-12-23,219.97,Delivered
642,28,2022-07-02,19.99,Confirmed
643,907,2023-06-14,99.99,Confirmed
644,642,2022-05-18,204.97,Shipped
645,992,2020-01-23,109.98,Delivered
646,494,2024-01-16,129.98,Delivered
647,845,2021-07-20,151.97,Delivered
648,260,2023-12-17,29.99,Delivered
649,102,2024-05-23,154.96,Shipped
650,563,2021-05-13,24.99,Shipped
651,481,2022-09-22,199.98,Shipped
652,800,2018-12-12,188.96,Shipped
653,714,2023-11-06,124.98,Delivered
654,954,2020-08-06,99.97,Processed
655,34,2023-07-04,139.98,Confirmed
656,174,2023-11-26,89.96,Confirmed
657,3,2023-08-22,59.98,Processed
658,293,2024-03-29,254.94,Processed
659,763,2022-08-26,15.99,Processed
660,549,2020-06-12,99.98,Confirmed
661,681,2021-08-28,49.98,Processed
662,386,2023-03-10,139.97,Shipped
663,845,2020-01-15,159.97,Delivered
664,590,2022-10-22,99.96,Confirmed
665,988,2018-05-09,49.99,Processed
666,839,2023-01-01,118.95,Processed
667,976,2020-06-24,52.97,Shipped
668,380,2023-12-09,129.97,Shipped
669,238,2024-05-19,99.99,Processed
670,160,2023-08-26,112.97,Confirmed
671,279,2020-05-01,24.99,Shipped
672,385,2022-04-21,117.96,Confirmed
673,877,2020-12-22,49.99,Delivered
674,156,2023-07-24,49.99,Processed
675,231,2024-05-22,259.96,Shipped
676,339,2023-09-19,310.93,Shipped
677,15,2022-11-02,59.98,Processed
678,540,2021-10-13,12.99,Shipped
679,232,2023-09-11,59.98,Delivered
680,590,2021-12-07,24.99,Shipped
681,331,2024-03-31,79.96,Shipped
682,177,2023-09-09,329.97,Shipped
683,815,2023-11-13,94.97,Confirmed
684,415,2021-07-08,44.98,Confirmed
685,811,2021-04-22,15.99,Processed
686,170,2020-12-21,179.95,Shipped
687,571,2021-06-01,29.99,Delivered
688,222,2022-07-10,134.98,Delivered
689,260,2023-11-06,89.98,Delivered
690,578,2023-04-07,49.99,Confirmed
691,334,2020-11-02,364.96,Processed
692,157,2022-09-28,39.98,Shipped
693,261,2023-12-29,164.96,Confirmed
694,934,2022-04-17,99.99,Processed
695,283,2021-12-19,204.97,Processed
696,739,2023-02-02,29.99,Confirmed
697,250,2022-12-29,59.99,Processed
698,680,2022-08-14,39.98,Delivered
699,345,2022-01-28,19.99,Delivered
700,883,2023-11-14,64.99,Shipped
