order_line_id,order_id,product_id,clothing_size,shoe_size,quantity,unit_price,line_total
504,278,17,,7,1,99.99,99.99
505,278,25,,,1,19.99,19.99
506,279,31,,,2,69.99,139.98
507,280,16,,11,1,99.99,99.99
508,281,5,XL,,1,99.99,99.99
509,282,29,,,1,24.99,24.99
510,283,35,,,1,29.99,29.99
511,284,32,,,1,49.99,49.99
512,284,23,,9,1,64.99,64.99
513,285,18,,11,1,129.99,129.99
514,285,23,,10,1,64.99,64.99
515,286,29,,,1,24.99,24.99
516,287,19,,7,1,49.99,49.99
517,288,28,,,2,18.99,37.98
518,288,10,S,,2,29.99,59.98
519,289,28,,,1,18.99,18.99
520,289,13,,6,1,69.99,69.99
521,290,15,,5,1,69.99,69.99
522,291,23,,6,1,64.99,64.99
523,291,34,,,1,19.99,19.99
524,291,21,,10,1,29.99,29.99
525,292,27,,,2,19.99,39.98
526,292,14,,7,1,49.99,49.99
527,292,21,,11,1,29.99,29.99
528,293,22,,11,1,49.99,49.99
529,294,27,,,1,19.99,19.99
530,294,2,S,,2,99.99,199.98
531,294,28,,,2,18.99,37.98
532,294,26,,,2,15.99,31.98
533,294,35,,,1,29.99,29.99
534,294,22,,10,1,49.99,49.99
535,294,25,,,1,19.99,19.99
536,295,20,,8,1,19.99,19.99
537,296,17,,8,1,99.99,99.99
538,296,19,,8,1,49.99,49.99
539,297,13,,9,1,69.99,69.99
540,298,11,XS,,1,49.99,49.99
541,298,31,,,1,69.99,69.99
542,298,31,,,1,69.99,69.99
543,298,31,,,2,69.99,139.98
544,299,13,,11,1,69.99,69.99
545,299,8,L,,1,39.99,39.99
546,300,30,,,2,24.99,49.98
547,301,7,XS,,2,29.99,59.98
548,301,21,,10,1,29.99,29.99
549,302,23,,6,1,64.99,64.99
550,302,34,,,2,19.99,39.98
551,303,5,S,,1,99.99,99.99
552,304,29,,,2,24.99,49.98
553,305,20,,6,1,19.99,19.99
554,305,6,S,,1,119.99,119.99
555,306,10,L,,1,29.99,29.99
556,307,16,,10,1,99.99,99.99
557,308,4,L,,1,49.99,49.99
558,308,27,,,1,19.99,19.99
559,309,28,,,1,18.99,18.99
560,310,27,,,2,19.99,39.98
561,310,35,,,2,29.99,59.98
562,310,5,M,,1,99.99,99.99
563,310,3,XL,,1,129.99,129.99
564,311,28,,,2,18.99,37.98
565,312,10,XL,,1,29.99,29.99
566,312,28,,,2,18.99,37.98
567,312,31,,,1,69.99,69.99
568,312,32,,,2,49.99,99.98
569,312,23,,10,1,64.99,64.99
570,312,12,M,,1,149.99,149.99
571,312,22,,7,1,49.99,49.99
572,312,10,M,,1,29.99,29.99
573,313,27,,,2,19.99,39.98
574,313,32,,,2,49.99,99.98
575,314,25,,,1,19.99,19.99
576,315,11,XL,,1,49.99,49.99
577,316,4,XS,,2,49.99,99.98
578,317,1,M,,1,59.99,59.99
579,317,30,,,1,24.99,24.99
580,318,34,,,2,19.99,39.98
581,319,21,,5,1,29.99,29.99
582,320,35,,,1,29.99,29.99
583,320,20,,8,1,19.99,19.99
584,320,28,,,1,18.99,18.99
585,320,24,,,1,12.99,12.99
586,320,33,,,1,24.99,24.99
587,320,13,,8,1,69.99,69.99
588,321,28,,,1,18.99,18.99
589,321,6,M,,1,119.99,119.99
590,321,3,M,,1,129.99,129.99
591,322,11,M,,1,49.99,49.99
592,323,5,L,,1,99.99,99.99
593,324,4,L,,2,49.99,99.98
594,324,27,,,2,19.99,39.98
595,325,9,M,,1,59.99,59.99
596,326,12,M,,1,149.99,149.99
597,326,2,L,,2,99.99,199.98
598,326,15,,7,1,69.99,69.99
599,326,21,,10,1,29.99,29.99
600,327,32,,,2,49.99,99.98
601,327,25,,,2,19.99,39.98
602,327,30,,,1,24.99,24.99
603,328,5,L,,1,99.99,99.99
604,329,14,,7,1,49.99,49.99
605,329,7,M,,2,29.99,59.98
606,330,26,,,2,15.99,31.98
607,331,7,M,,1,29.99,29.99
608,332,11,L,,1,49.99,49.99
609,332,16,,11,1,99.99,99.99
610,333,30,,,2,24.99,49.98
611,333,22,,7,1,49.99,49.99
612,333,30,,,2,24.99,49.98
613,333,33,,,2,24.99,49.98
614,333,25,,,1,19.99,19.99
615,333,30,,,1,24.99,24.99
616,333,27,,,2,19.99,39.98
617,334,28,,,1,18.99,18.99
618,334,9,M,,1,59.99,59.99
619,335,4,XL,,1,49.99,49.99
620,336,12,L,,1,149.99,149.99
621,336,10,L,,1,29.99,29.99
622,337,20,,8,1,19.99,19.99
623,337,24,,,2,12.99,25.98
624,338,22,,5,1,49.99,49.99
625,339,10,S,,2,29.99,59.98
626,339,16,,7,1,99.99,99.99
627,339,3,XS,,1,129.99,129.99
628,339,10,M,,1,29.99,29.99
629,340,34,,,2,19.99,39.98
630,341,31,,,1,69.99,69.99
631,342,27,,,2,19.99,39.98
632,343,4,S,,2,49.99,99.98
633,344,21,,6,1,29.99,29.99
634,345,34,,,1,19.99,19.99
635,345,28,,,1,18.99,18.99
636,345,31,,,2,69.99,139.98
637,346,19,,8,1,49.99,49.99
638,347,23,,9,1,64.99,64.99
639,348,2,XL,,2,99.99,199.98
640,349,10,S,,1,29.99,29.99
641,350,21,,11,1,29.99,29.99
642,351,10,L,,2,29.99,59.98
643,352,14,,5,1,49.99,49.99
644,353,35,,,2,29.99,59.98
645,354,34,,,2,19.99,39.98
646,354,21,,7,1,29.99,29.99
647,354,31,,,2,69.99,139.98
648,355,7,XS,,1,29.99,29.99
649,356,10,M,,2,29.99,59.98
650,356,30,,,1,24.99,24.99
651,356,34,,,1,19.99,19.99
652,356,28,,,1,18.99,18.99
653,357,19,,6,1,49.99,49.99
654,358,2,S,,1,99.99,99.99
655,359,34,,,2,19.99,39.98
656,359,23,,6,1,64.99,64.99
657,359,6,L,,1,119.99,119.99
658,360,25,,,1,19.99,19.99
659,360,8,XL,,2,39.99,79.98
660,360,29,,,2,24.99,49.98
661,361,9,S,,1,59.99,59.99
662,362,22,,8,1,49.99,49.99
663,363,4,S,,1,49.99,49.99
664,364,35,,,2,29.99,59.98
665,365,22,,10,1,49.99,49.99
666,366,6,XS,,2,119.99,239.98
667,367,6,XL,,2,119.99,239.98
668,367,21,,8,1,29.99,29.99
669,367,28,,,2,18.99,37.98
670,368,35,,,2,29.99,59.98
671,369,11,M,,1,49.99,49.99
672,369,28,,,2,18.99,37.98
673,369,22,,11,1,49.99,49.99
674,370,20,,8,1,19.99,19.99
675,370,3,XS,,2,129.99,259.98
676,371,22,,7,1,49.99,49.99
677,372,11,XS,,1,49.99,49.99
678,372,26,,,1,15.99,15.99
679,373,6,M,,1,119.99,119.99
680,373,33,,,2,24.99,49.98
681,374,13,,5,1,69.99,69.99
682,375,11,XL,,2,49.99,99.98
683,375,22,,5,1,49.99,49.99
684,375,5,XS,,1,99.99,99.99
685,375,28,,,2,18.99,37.98
686,376,14,,5,1,49.99,49.99
687,376,19,,5,1,49.99,49.99
688,376,16,,5,1,99.99,99.99
689,377,24,,,1,12.99,12.99
690,377,14,,6,1,49.99,49.99
691,377,7,XS,,1,29.99,29.99
692,378,12,M,,1,149.99,149.99
693,379,15,,7,1,69.99,69.99
694,380,20,,8,1,19.99,19.99
695,381,25,,,1,19.99,19.99
696,382,12,L,,2,149.99,299.98
697,383,7,XL,,1,29.99,29.99
698,383,14,,9,1,49.99,49.99
699,383,31,,,2,69.99,139.98
700,383,5,XS,,1,99.99,99.99
701,384,24,,,2,12.99,25.98
702,384,10,XS,,2,29.99,59.98
703,385,29,,,2,24.99,49.98
704,385,20,,6,1,19.99,19.99
705,385,25,,,1,19.99,19.99
706,386,15,,7,1,69.99,69.99
707,387,32,,,1,49.99,49.99
708,387,13,,6,1,69.99,69.99
709,387,10,M,,2,29.99,59.98
710,388,18,,8,1,129.99,129.99
711,388,28,,,2,18.99,37.98
712,388,1,M,,1,59.99,59.99
713,389,30,,,1,24.99,24.99
714,390,27,,,1,19.99,19.99
715,390,4,XL,,2,49.99,99.98
716,390,12,S,,1,149.99,149.99
717,391,25,,,2,19.99,39.98
718,392,15,,5,1,69.99,69.99
719,393,11,XL,,1,49.99,49.99
720,393,1,XL,,1,59.99,59.99
721,393,24,,,2,12.99,25.98
722,393,21,,6,1,29.99,29.99
723,393,19,,6,1,49.99,49.99
724,394,13,,6,1,69.99,69.99
725,395,32,,,1,49.99,49.99
726,396,16,,7,1,99.99,99.99
727,397,19,,11,1,49.99,49.99
728,397,31,,,1,69.99,69.99
729,398,28,,,1,18.99,18.99
730,399,21,,9,1,29.99,29.99
731,400,8,S,,2,39.99,79.98
732,401,8,XL,,2,39.99,79.98
733,401,33,,,1,24.99,24.99
734,402,10,L,,1,29.99,29.99
735,402,11,M,,2,49.99,99.98
736,403,29,,,2,24.99,49.98
737,404,35,,,1,29.99,29.99
738,405,25,,,1,19.99,19.99
739,406,35,,,2,29.99,59.98
740,406,4,S,,1,49.99,49.99
741,407,12,M,,1,149.99,149.99
742,408,16,,7,1,99.99,99.99
